time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
5.035,0.05743360358613762,1.1772844491504786,-0.07067166269366684,-1.336807802611488,0.234898553850126,-0.673250751090573,-0.3557387801209015,0.30308400416345493,0.9560182097959653,1,left
5.038,0.05532517507386552,1.1836990630199207,-0.07001508993566198,-1.3652440449850232,0.25147895265457093,-0.6928733252118925,-0.3593318007465986,0.30314609934714726,0.9695035910288924,1,left
5.038,0.05327760890095889,1.190123285186331,-0.06930156447421763,-1.394370592425139,0.2690061296029034,-0.712687888505414,-0.36297888781822596,0.30338587789973587,0.9832836824788803,1,left
5.039,0.051295614905492545,1.1965496010949264,-0.06853010710822807,-1.4241985713458045,0.28750935030944663,-0.7326832864679965,-0.366680941825862,0.30380085112032523,0.9973589931222514,1,left
5.043,0.04938391570324265,1.202970279129303,-0.06769975544389645,-1.4547384927079126,0.3070175969048176,-0.7528483302018191,-0.37043883650853443,0.3043883045791116,1.0117297932138662,1,left
5.043,0.047547241113311815,1.2093773760727353,-0.0668095671914308,-1.4860002217890693,0.32755951327928606,-0.7731717998205345,-0.37425341698334197,0.30514529884279695,1.0263961036903884,1,left
5.048,0.04579032273125532,1.2157627430739173,-0.0658586238031869,-1.517992947702436,0.34916334927085907,-0.7936424468580177,-0.37812549780885574,0.30606867025093765,1.0413576856263516,1,left
5.048,0.044117888671059924,1.2221180321327392,-0.06484603445871663,-1.5507251527399908,0.3718569038501863,-0.8142489957126422,-0.38205586099359795,0.30715503174490755,1.0566140297843136,1,left
5.053,0.04253465849870494,1.2284347031191052,-0.0637709403942212,-1.584204581630033,0.39566746736135844,-0.8349801441854473,-0.38604525396055767,0.30840077375164476,1.0721643463012267,1,left
5.053,0.04104533837957755,1.2347040313348423,-0.06263251956431183,-1.6184382108008586,0.4206217628807201,-0.8558245631709748,-0.3900943874788697,0.3098020651248271,1.0880075545540056,1,left
5.058,0.03965461645834273,1.240917115627424,-0.06142999161372717,-1.6534322177446503,0.4467458867589496,-0.876770895559949,-0.3942039335739474,0.3113548541465885,1.1041422732481199,1,left
